id_terraza,id_local,id_distrito_local,desc_distrito_local,id_barrio_local,desc_barrio_local,id_ndp_edificio,id_clase_ndp_edificio,id_vial_edificio,clase_vial_edificio,desc_vial_edificio,nom_edificio,num_edificio,Cod_Postal,coordenada_x_local,coordenada_y_local,id_tipo_acceso_local,desc_tipo_acceso_local,id_situacion_local,desc_situacion_local,secuencial_local_PC,Escalera,id_planta_agrupado,id_local_agrupado,coordenada_x_agrupacion,coordenada_y_agrupacion,rotulo,id_periodo_terraza,desc_periodo_terraza,id_situacion_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,Fecha_confir_ult_decreto_resol,id_ndp_terraza,id_clase_ndp_terraza,ID_VIAL,DESC_CLASE,DESC_NOMBRE,nom_terraza,num_terraza,cal_terraza,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_aux_es,mesas_aux_ra,mesas_es,mesas_ra,sillas_es,sillas_ra
-0.009881722168791676,0.4474543499898173,17,VILLAVERDE          ,1.5116910709772975,SAN CRISTOBAL       ,-0.4484382794564834,1,-0.2979092897224853,CALLE                   ,BENIFERRI                                         ,NUM,23,28021,"441343,53","4466262,5",1,Puerta Calle,1,Abierto,10,,PB,,,,LINEA 59 LA NEGRA,1,Anual,1,Abierta,81.0,81,08/11/2017,-0.5412336364297342,1,-0.2977421596387789,CALLE                   ,BENIFERRI                                         ,NUM,23,  ,Plaza peatonal,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0.0,14,14.0,48,  
-0.006612810857856364,-2.581796102725466,2,ARGANZUELA          ,-1.1001886867367656,ACACIAS             ,-0.46847265112002046,1,-0.2688984686056683,PASEO                   ,SANTA MARIA DE LA CABEZA                          ,NUM,66,28045,"440569,59","4472490,52",1,Puerta Calle,1,Abierto,30,,PB,,,,LA ANDALUZA LOW COST,1,Anual,1,Abierta,72.0,72,14/11/2017,2.450660162034114,1,-0.26879405438572623,GLORIETA                ,SANTA MARIA DE LA CABEZA                          ,NUM,13,  ,Acera,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0.0,25,25.0,90,  
-0.004376187329321676,0.5658452739916885,6,TETUAN              ,-0.40368741801301544,CUATRO CAMINOS      ,-0.46489301291953494,1,4.032607761757937,CALLE                   ,EDGAR NEVILLE                                     ,NUM,32,28020,"440943,6","4478148,53",1,Puerta Calle,1,Abierto,20,,PB,,,,DARICHI,1,Anual,1,Abierta,824.0,824,20/11/2017,-0.5557279053678225,1,4.02359473897372,CALLE                   ,EDGAR NEVILLE                                     ,NUM,32,  ,Acera,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0.0,10,10.0,24,  
0.0097317456968202,0.44684061724474156,10,LATINA              ,0.3015201165697816,LAS AGUILAS         ,1.0691628147345726,1,-0.26919715961145163,CALLE                   ,SANIA RAMEL                                       ,NUM,9,28044,"435077,61","4469727,56",1,Puerta Calle,1,Abierto,10,,PB,,,,BAR JULIO,1,Anual,1,Abierta,140.0,96,22/01/2018,-0.5498878151314451,1,-0.27232573539222393,PLAZA                   ,RABASA                                            ,NUM,5,  ,Acera,08:00:00,00:00:00,08:00:00,00:00:00,08:00:00,00:30:00,08:00:00,00:30:00,0,0.0,24,14.0,96,  
0.04568977011710864,0.6260802117087865,5,CHAMARTIN           ,-0.5795539883657624,EL VISO             ,-0.46636752356436795,1,-0.29520034517207483,PLAZA                   ,CATALUÑA                                          ,NUM,2,28002,"442484,59","4477850,51",1,Puerta Calle,1,Abierto,30,,PB,,,,PANARIA,1,Anual,1,Abierta,324.0,"63,24",17/05/2018,-0.5570213279982786,1,-0.2730143097806764,CALLE                   ,PRINCIPE DE VERGARA                               ,NUM,203,  ,Calle peatonal,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,16,4.0,48,  
0.048786633464310517,0.44766207082186205,5,CHAMARTIN           ,-0.5795539883657624,EL VISO             ,-0.46639243429731697,1,-0.269966441344714,CALLE                   ,SAN JUAN DE LA SALLE                              ,NUM,5,28036,"441538,6","4478136,52",1,Puerta Calle,1,Abierto,30,,PB,,,,RESTAURANTE CERVECERIA BRIOS,1,Anual,1,Abierta,81.0,81,23/05/2018,-0.5570468778294635,1,-0.2928077820423771,AVENIDA                 ,CONCHA ESPINA                                     ,NUM,4,  ,Acera,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0.0,21,21.0,63,  
0.06409890223658646,0.45124556990316733,10,LATINA              ,0.3015201165697816,LAS AGUILAS         ,2.951177902593395,1,1.2088766723349045,CALLE                   ,CARMEN MARTIN GAITE                               ,NUM,18,28044,"435085,6","4469457,56",1,Puerta Calle,1,Abierto,10,,PB,,,,BOVIA,1,Anual,1,Abierta,94.0,32,27/06/2018,2.453928436322041,1,-0.286481656918785,CALLE                   ,JOAQUIN TURINA                                    ,NUM,100,  ,Acera,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0.0,38,12.0,146,  
0.06461504612778676,0.44632500717242535,12,USERA               ,0.6462882445880379,MOSCARDO            ,-0.4554327355284902,1,-0.27988054444279586,CALLE                   ,MARCELO USERA                                     ,NUM,168,28026,"439259,59","4470775,53",1,Puerta Calle,1,Abierto,70,,PB,,,,BAR 4 FAROLES,2,Estacional,1,Abierta,100.0,,28/06/2018,-0.5473965562977895,1,-0.27017971910029764,CALLE                   ,SAN FILIBERTO                                     ,NUM,4,  ,Otros,10:00:00,01:00:00,,,10:00:00,02:30:00,,,0,,28,,112,  
0.09799235109207365,0.45085655333093994,3,RETIRO              ,-0.9225808632122093,IBIZA               ,-0.46783452686502447,1,-0.27709113619286824,CALLE                   ,NARVAEZ                                           ,NUM,49,28009,"442648,58","4474460,5",1,Puerta Calle,1,Abierto,20,,PB,,,,100 MONTADITOS,1,Anual,1,Abierta,84.0,"36,9",30/10/2018,-0.5583189588362241,1,-0.2769681379829215,CALLE                   ,NARVAEZ                                           ,NUM,49,  ,Acera,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0.0,24,24.0,57,  
0.11055185244461459,0.4509847567885265,1,CENTRO              ,-1.2673489912304656,SOL                 ,-0.46863371777689644,1,-0.27098077161741496,CALLE                   ,SAL                                               ,NUM,3,28012,"440050,59","4474134,53",1,Puerta Calle,1,Abierto,30,,PB,,,,EL SOPORTAL,1,Anual,1,Abierta,72.0,72,06/02/2019,0.7935003657761787,1,-0.2784864080125836,PLAZA                   ,MAYOR                                             ,NUM,32,  ,Plaza peatonal,10:00:00,01:00:00,10:00:00,23:00:00,10:00:00,01:30:00,10:00:00,23:00:00,2,2.0,20,20.0,80,  
0.15614456283397551,0.5656190204910039,1,CENTRO              ,-1.2673489912304656,SOL                 ,-0.468646173143371,1,-0.2786126316019197,PLAZA                   ,MAYOR                                             ,NUM,3,28012,"439984,59","4474060,53",1,Puerta Calle,4,Cerrado,10,,PB,,,,DIRECCION GENERAL DE ESTADISTICA,1,Anual,1,Abierta,92.0,92,14/10/2019,-0.5590339032300283,1,-0.2784864080125836,PLAZA                   ,MAYOR                                             ,NUM,3,  ,Plaza peatonal,09:00:00,23:30:00,09:00:00,23:00:00,09:00:00,01:00:00,09:00:00,23:00:00,2,2.0,30,30.0,110,  
1.88660298206489,0.44717299478590034,14,MORATALAZ           ,0.9962801321217224,VINATEROS           ,-0.4523646204607528,1,-0.28565930104448156,CALLE                   ,HACIENDA DE PAVONES                               ,NUM,83,28030,"445156,56","4472844,47",1,Puerta Calle,1,Abierto,30,,PB,,,,CAFETERIA-CHURRERIA,1,Anual,1,Abierta,91.0,91,20/12/2019,-0.5446921818134265,1,-0.28551813939996096,CALLE                   ,HACIENDA DE PAVONES                               ,NUM,83,  ,Acera,10:00:00,00:00:00,10:00:00,23:00:00,10:00:00,01:00:00,10:00:00,23:00:00,0,0.0,6,6.0,24,  
1.9292708770707825,0.5657249387474369,3,RETIRO              ,-0.9208396100403999,LOS JERONIMOS       ,-0.4677811223484967,1,-0.28472299617737296,PLAZA                   ,INDEPENDENCIA                                     ,NUM,10,28001,"441506,59","4474554,52",1,Puerta Calle,1,Abierto,20,,PB,,,,GALERIA DE ARTE RAFAEL GARCIA DECORACION,1,Anual,1,Abierta,81.0,81,15/07/2020,-0.5582719170882188,1,-0.28458381938170735,PLAZA                   ,INDEPENDENCIA                                     ,NUM,10,  ,Plaza con bandas permanentes de circulación rodada,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,1,1.0,22,22.0,64,  
1.945615433625459,0.5655052219162922,4,SALAMANCA           ,-0.7519380523748905,GOYA                ,-0.46735763988836304,1,4.032599861685621,CALLE                   ,ALCALA                                            ,NUM,104,28009,"442805,58","4475156,5",1,Puerta Calle,1,Abierto,40,,PB,,,,CASA PETO,2,Estacional,1,Abierta,80.0,,03/08/2020,-0.5578981380872957,1,-0.2884865519579542,CALLE                   ,FERNAN GONZALEZ                                   ,NUM,2,  ,Zona de estacionamiento,10:00:00,00:00:00,,,10:00:00,01:30:00,,,0,,8,,24,  
1.9965416308905564,0.44891046575948484,16,HORTALEZA           ,1.3410482601399787,PINAR DEL REY       ,-0.4496145437917621,1,-0.2982896635747482,AVENIDA                 ,BARRANQUILLA                                      ,NUM,9,28033,"445774,59","4480604,48",1,Puerta Calle,1,Abierto,10,,PB,,,,CAFETERIA PASTELERIA DEFIA,1,Anual,1,Abierta,800.0,800,26/10/2020,-0.5422697572308456,1,-0.29812172714619445,AVENIDA                 ,BARRANQUILLA                                      ,NUM,9,  ,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,0,8.0,0,  
2.0092731802068307,0.45115987900747706,1,CENTRO              ,-1.2708314975740844,JUSTICIA            ,-0.4690609539091184,1,-0.27851509984492917,CALLE                   ,MEJIA LEQUERICA                                   ,NUM,8,28004,"440768,59","4475368,53",1,Puerta Calle,1,Abierto,10,,PB,,,,HOTEL URSO,1,Anual,1,Abierta,425.0,"4,25",11/11/2020,-0.5593992658159729,1,-0.2783890830106822,CALLE                   ,MEJIA LEQUERICA                                   ,NUM,8,  ,Acera,09:00:00,23:30:00,09:00:00,23:00:00,09:00:00,01:00:00,09:00:00,23:00:00,0,0.0,5,5.0,10,  
2.0259618326889743,0.5660119227501244,9,MONCLOA-ARAVACA     ,0.11868853352979719,ARGUELLES           ,-0.46103696795619026,1,-0.273150853210453,CALLE                   ,PRINCESA                                          ,NUM,3,28008,"439553,6","4475178,54",1,Puerta Calle,1,Abierto,40,,PB,,,,CAFE AND TE,1,Anual,1,Abierta,92.0,92,04/12/2020,-0.5523312807514724,1,-0.2730362079061043,CALLE                   ,PRINCESA                                          ,NUM,3,  ,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,01:00:00,10:00:00,00:00:00,0,0.0,13,13.0,47,  
2.076543934026605,0.565607908152786,1,CENTRO              ,-1.2690902444022751,UNIVERSIDAD         ,-0.468863203638653,1,-0.2756427896015597,CALLE                   ,PALMA                                             ,NUM,70,28015,"439882,6","4475374,53",1,Puerta Calle,1,Abierto,10,,PB,,,,CA ANGELITA,1,Anual,1,Abierta,119.0,"1,19",31/03/2021,-0.5592250760845414,1,-0.2755228617046855,CALLE                   ,PALMA                                             ,NUM,70,  ,Calle peatonal,09:00:00,23:00:00,09:00:00,23:00:00,09:00:00,23:00:00,09:00:00,23:00:00,0,0.0,1,1.0,2,  
